halfAngle,speed,target
25.0,220.0,0
40.0,764.0,0
57.0,740.0,1
32.0,135.0,0
32.0,384.0,0
32.0,540.0,0
37.0,680.0,0
40.0,1800.0,1
30.0,419.0,1
24.0,273.0,0
19.0,400.0,0
18.0,233.0,0
24.0,271.0,0
30.0,624.0,0
40.0,697.0,0
40.0,729.0,0
34.0,420.0,0
29.0,400.0,0
20.0,700.0,1
21.0,366.0,0
17.0,710.0,0
25.0,590.0,0
19.0,720.0,0
20.0,150.0,0
14.0,1030.0,0
35.0,450.0,0
50.0,800.0,1
29.0,280.0,0
33.0,338.0,0
45.0,472.0,0
58.0,998.0,1
40.0,728.0,0
29.0,381.0,1
35.0,474.0,1
44.0,265.0,0
67.0,745.0,1
29.0,521.0,1
44.0,415.0,0
13.0,347.0,0
62.0,660.0,1
32.0,365.0,0
43.0,570.0,0
14.0,255.0,0
32.0,400.0,0
25.0,240.0,0
22.0,300.0,0
21.0,351.0,0
21.0,235.0,0
28.0,308.0,0
15.0,365.0,0
25.0,200.0,0
21.0,530.0,1
24.0,550.0,0
19.0,245.0,0
18.0,450.0,0
16.0,385.0,0
49.0,715.0,0
16.0,244.0,0
13.0,400.0,0
14.0,467.0,0
39.0,500.0,0
23.0,570.0,0
32.0,488.0,1
45.0,490.0,1
23.0,443.0,0
44.0,720.0,0
60.0,755.0,1
25.0,288.0,0
45.0,620.0,1
12.0,366.0,0
22.0,968.0,0
16.0,575.0,0
48.0,1080.0,1
40.0,496.0,0
30.0,639.0,0
21.0,340.0,0
25.0,229.0,0
65.0,550.0,0
34.0,650.0,1
13.0,520.0,2
27.0,440.0,0
30.0,350.0,0
20.0,420.0,0
63.0,851.0,1
38.0,500.0,1
59.0,810.0,1
45.0,800.0,1
45.0,643.0,1
40.0,854.0,1
28.0,585.0,0
13.0,313.0,0
60.0,840.0,0
30.0,1061.0,0
23.0,850.0,0
26.0,735.0,0
12.0,612.0,0
15.0,319.0,0
29.0,1050.0,1
66.0,1670.0,4
16.0,440.0,0
30.0,265.0,0
16.0,270.0,0
35.0,300.0,0
18.0,170.0,0
23.0,300.0,0
8.0,327.0,0
18.0,210.0,0
16.0,500.0,0
18.0,369.0,0
8.0,257.0,0
10.0,260.0,0
10.0,284.0,0
11.0,430.0,0
60.0,900.0,1
26.0,651.0,0
29.0,510.0,0
23.0,540.0,0
44.0,1070.0,0
29.0,650.0,1
27.0,288.0,0
20.0,377.0,0
29.0,540.0,0
25.0,800.0,0
21.0,557.0,0
42.0,580.0,1
35.0,363.0,0
35.0,645.0,0
8.0,372.0,0
10.0,416.0,0
60.0,1150.0,2
19.0,584.0,0
32.0,365.0,0
8.0,246.0,0
13.0,255.0,0
35.0,383.0,0
28.0,270.0,0
29.0,460.0,0
48.0,545.0,0
22.0,464.0,0
24.0,500.0,0
35.0,767.0,0
40.0,393.0,0
18.0,306.0,0
20.0,700.0,0
9.0,279.0,0
22.0,310.0,0
19.0,211.0,0
40.0,350.0,0
34.0,340.0,0
12.0,150.0,0
40.0,185.0,0
47.0,393.0,0
23.0,340.0,0
24.0,534.0,0
20.0,400.0,0
41.0,470.0,0
30.0,247.0,0
24.0,824.0,0
24.0,500.0,0
52.0,700.0,1
40.0,568.0,1
19.0,495.0,0
25.0,527.0,0
22.0,707.0,0
23.0,552.0,0
38.0,614.0,0
34.0,489.0,0
10.0,590.0,0
25.0,358.0,0
56.0,776.0,1
32.0,477.0,0
32.0,820.0,0
30.0,654.0,0
40.0,533.0,0
46.0,707.0,0
31.0,437.0,0
22.0,453.0,0
9.0,178.0,0
22.0,215.0,0
8.0,375.0,0
50.0,450.0,0
35.0,577.0,0
68.0,1604.0,2
32.0,452.0,0
15.0,509.0,0
29.0,372.0,0
16.0,311.0,0
22.0,445.0,0
33.0,220.0,0
25.0,468.0,0
39.0,498.0,0
20.0,364.0,0
40.0,654.0,1
24.0,436.0,0
24.0,300.0,0
37.0,510.0,1
40.0,525.0,1
56.0,690.0,1
19.0,375.0,0
28.0,440.0,0
12.0,212.0,0
30.0,300.0,0
12.0,330.0,0
16.0,353.0,0
42.0,610.0,0
25.0,581.0,0
20.0,200.0,0
12.0,495.0,0
29.0,396.0,0
15.0,730.0,0
16.0,497.0,0
45.0,202.0,0
10.0,416.0,0
34.0,744.0,0
24.0,379.0,0
45.0,1400.0,2
20.0,303.0,0
31.0,340.0,0
23.0,400.0,0
22.0,592.0,0
20.0,236.0,0
17.0,409.0,0
19.0,400.0,0
21.0,240.0,0
20.0,524.0,0
26.0,200.0,0
50.0,660.0,0
25.0,375.0,0
15.0,319.0,0
12.0,365.0,0
20.0,670.0,0
20.0,290.0,0
50.0,521.0,0
23.0,474.0,0
8.0,500.0,0
30.0,270.0,0
19.0,530.0,0
27.0,310.0,0
15.0,616.0,0
14.0,289.0,0
16.0,298.0,0
16.0,375.0,0
12.0,258.0,0
11.0,332.0,0
25.0,894.0,0
27.0,270.0,0
25.0,576.0,1
11.0,303.0,0
36.0,630.0,0
35.0,431.0,0
27.0,309.0,0
18.0,400.0,0
49.0,422.0,2
9.0,916.0,0
8.0,300.0,0
47.0,460.0,0
32.0,570.0,0
21.0,320.0,0
15.0,815.0,0
21.0,290.0,0
41.0,1110.0,0
46.0,800.0,1
18.0,600.0,0
56.0,1176.0,1
20.0,520.0,0
64.0,1100.0,1
23.0,750.0,0
22.0,457.0,0
38.0,207.0,0
30.0,405.0,0
21.0,892.0,0
17.0,443.0,0
10.0,421.0,0
10.0,390.0,0
32.0,751.0,0
20.0,280.0,0
20.0,300.0,0
45.0,460.0,0
20.0,525.0,0
27.0,410.0,0
14.0,361.0,0
33.0,333.0,0
34.0,610.0,0
14.0,630.0,0
20.0,285.0,0
36.0,601.0,0
22.0,291.0,0
14.0,370.0,0
22.0,323.0,0
13.0,310.0,0
22.0,220.0,0
18.0,400.0,0
40.0,460.0,0
30.0,503.0,0
10.0,244.0,0
15.0,504.0,0
16.0,537.0,0
23.0,395.0,0
28.0,492.0,1
47.0,300.0,0
19.0,362.0,0
20.0,350.0,0
29.0,338.0,0
23.0,837.0,0
20.0,350.0,0
24.0,285.0,0
27.0,300.0,0
18.0,631.0,0
20.0,409.0,0
37.0,340.0,0
15.0,149.0,0
32.0,598.0,0
9.0,292.0,0
23.0,244.0,0
60.0,260.0,1
67.0,592.0,0
20.0,242.0,0
35.0,361.0,0
20.0,240.0,0
43.0,572.0,1
48.0,377.0,0
39.0,794.0,1
70.0,830.0,1
40.0,600.0,0
40.0,340.0,0
23.0,450.0,0
47.0,410.0,0
15.0,700.0,0
30.0,857.0,0
13.0,528.0,0
13.0,535.0,0
40.0,630.0,0
64.0,1000.0,0
15.0,700.0,0
22.0,376.0,0
20.0,292.0,0
19.0,273.0,0
14.0,370.0,0
12.0,285.0,0
34.0,236.0,0
61.0,603.0,0
33.0,548.0,1
22.0,870.0,0
20.0,372.0,0
34.0,900.0,0
25.0,600.0,0
23.0,800.0,0
18.0,549.0,0
20.0,654.0,0
5.0,465.0,0
35.0,1000.0,0
23.0,676.0,0
16.0,288.0,0
20.0,566.0,0
47.0,530.0,1
25.0,400.0,0
35.0,250.0,0
34.0,420.0,0
13.0,150.0,0
20.0,440.0,0
27.0,310.0,0
35.0,635.0,1
20.0,246.0,0
35.0,462.0,1
27.0,444.0,1
30.0,410.0,0
48.0,813.0,1
30.0,750.0,1
23.0,675.0,1
35.0,450.0,0
19.0,437.0,0
30.0,264.0,0
38.0,615.0,0
